Census Tract,East = 1/ West = 0 ,Total Populaton,Households,Housing Units,Minority Population,Percent Minority,Low Income,Percent Low Income,Less than HS Education,Percent Less than HS Education,Under Age 5,Percent Under Age 5,Over Age 64,Percent Over Age 64,Housing Units Built Before 1960,Percent Housing Units Built Before 1960,NATA Diesel Particulate Matter,NATA Cancer Risk,NATA Respiratory Hazard Index,Traffic Proximity,Wastewater Dischange Indicator,Superfund Proximity,RMP Proximity,TSDF Proximity,Ozone Concentration,PM 2.5 Concentration
3.7067E+11,1,2087,1117,1210,872,0.417824629,518,0.364788732,246,0.147836538,0,0,196,0.09391471,689,0.569421488,1.669593048,65.03289329,2.776652773,1216.324399,0.002981341,0.020230803,1.056318517,4.721586277,47.24491438,9.945469041
3.7067E+11,1,1113,516,568,616,0.55345912,830,0.745732255,212,0.219234747,46,0.041329739,62,0.055705301,246,0.433098592,1.003449928,54.61561646,2.061867487,422.6463614,0.001739764,0.025784205,1.283659532,3.353032424,47.15801634,9.913864384
3.7067E+11,1,2051,841,902,2001,0.975621648,1577,0.771904063,269,0.223421927,186,0.09068747,266,0.129692833,233,0.258314856,0.849534202,48.99268063,1.768417581,318.6588745,2.649E-08,0.026000282,1.677478708,3.172847206,47.07536144,9.89712
3.7067E+11,1,1565,703,912,1565,1,1141,0.729073482,338,0.335650447,86,0.054952077,324,0.207028754,632,0.692982456,0.709673201,47.40398185,1.701541454,837.8789954,4.801E-08,0.026369963,1.265909979,3.349915457,46.96724314,9.883094247
3.7067E+11,1,1091,290,406,1066,0.977085243,813,0.745187901,157,0.285974499,72,0.0659945,62,0.056828598,313,0.770935961,0.689060025,46.55861466,1.643965651,446.0180328,3.401E-08,0.02449885,3.450923659,5.657572066,46.9753451,9.8798
3.7067E+11,1,982,319,359,981,0.99898167,513,0.529411765,178,0.261380323,87,0.088594705,169,0.17209776,279,0.777158774,0.689060025,46.55861466,1.643965651,76.28010153,4.721E-08,0.025679686,2.903801719,5.442316899,46.9753451,9.8798
3.7067E+11,1,1507,513,610,1479,0.98142004,1283,0.851360319,119,0.141666667,60,0.0398142,107,0.071001991,237,0.38852459,0.689060025,46.55861466,1.643965651,73.65087192,3.258E-08,0.009779946,3.131292018,3.580537487,46.9753451,9.8798
3.7067E+11,1,548,167,217,548,1,406,0.740875912,127,0.391975309,17,0.031021898,17,0.031021898,52,0.239631336,0.787536857,47.94924834,1.779823974,2657.632877,2.199E-08,0.022012188,1.812804651,3.868584543,47.0506549,9.899446301
3.7067E+11,1,682,325,336,679,0.995601173,608,0.891495601,133,0.339285714,111,0.162756598,46,0.06744868,145,0.431547619,0.787536857,47.94924834,1.779823974,1327.991761,0.000361525,0.024883555,1.82727691,3.368643433,47.0506549,9.899446301
3.7067E+11,1,1237,467,574,1212,0.979789814,892,0.721099434,160,0.216802168,84,0.067906225,194,0.156831043,372,0.648083624,0.787536857,47.94924834,1.779823974,101.5857822,0.000727293,0.022264719,1.342997616,3.314516448,47.0506549,9.899446301
